ID,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Meterage_KM,Cylinders,Gear box type,Drive wheels,Doors,Steering wheel,Color,Airbags,Price
45661296,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746,6,Automatic,All Wheel Drive,4,Left-hand drive,Silver,12,314
45815051,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200,4,Automatic,Front,4,Left-hand drive,Blue,4,24462
45797488,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057,4,Automatic,Front,4,Left-hand drive,Black,4,45734
45667253,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200,4,Tiptronic,Front,4,Left-hand drive,Black,8,20165
45108412,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000,4,Tiptronic,Front,4,Left-hand drive,White,12,21326
45810322,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259,6,Automatic,All Wheel Drive,4,Left-hand drive,Silver,12,549
45769564,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4,239342,6,Automatic,All Wheel Drive,4,Left-hand drive,Silver,12,220
45726453,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000,4,Manual,Front,4,Left-hand drive,Sky blue,8,15681
45732544,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,100734,4,Automatic,Front,4,Left-hand drive,Black,4,55390
45811563,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500,4,Automatic,Front,4,Right-hand drive,Black,8,12544
45699930,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000,4,Manual,All Wheel Drive,4,Left-hand drive,White,8,17249
45809839,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768,4,Automatic,Front,4,Left-hand drive,Blue,4,34889
45767508,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014,6,Automatic,All Wheel Drive,4,Left-hand drive,Black,0,862
45802148,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5 Turbo,132542,4,Manual,Front,4,Left-hand drive,White,10,14583
45769316,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600,4,Automatic,Rear,4,Left-hand drive,Black,12,392
44153312,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000,1,Tiptronic,All Wheel Drive,4,Left-hand drive,White,12,38500
45782169,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2,260000,4,Manual,Rear,2,Left-hand drive,Blue,0,8781
44316016,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0 Turbo,5323,4,Tiptronic,All Wheel Drive,4,Left-hand drive,Grey,0,87112
45641216,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112,4,Automatic,All Wheel Drive,4,Left-hand drive,Black,0,1411
45813399,BMW,535,2012,Sedan,Yes,Petrol,3,204318,6,Automatic,Rear,4,Left-hand drive,Black,12,392
44679525,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000,4,Automatic,Front,4,Left-hand drive,Red,6,23521
45418626,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000,4,Tiptronic,Front,4,Left-hand drive,Silver,8,16935
45323316,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000,4,Automatic,Front,4,Right-hand drive,Black,6,10349
45638910,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118,4,Automatic,Front,4,Left-hand drive,Black,0,7213
45778144,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000,4,Tiptronic,Front,4,Left-hand drive,Black,6,5331
45803923,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279,4,Automatic,Front,4,Left-hand drive,Grey,4,20526
45803550,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,719847,4,Automatic,Front,4,Left-hand drive,Orange,4,9722
45802190,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672,4,Automatic,Front,4,Left-hand drive,Silver,4,34657
45802203,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969,4,Automatic,Front,4,Left-hand drive,Black,4,36564
45648175,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510,4,Automatic,Front,4,Left-hand drive,White,12,314
45786421,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000,4,Manual,Front,4,Right-hand drive,Sky blue,3,5488
45802120,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105,4,Automatic,Front,4,Left-hand drive,Silver,4,30063
45809414,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456,4,Automatic,Front,4,Left-hand drive,Silver,4,15800
45797480,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643,4,Automatic,Front,4,Left-hand drive,Grey,4,43952
45732043,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506,4,Automatic,Front,4,Left-hand drive,Silver,4,53154
45816646,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000,4,Automatic,Front,4,Left-hand drive,White,8,14740
45624039,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000,4,Tiptronic,Rear,2,Left-hand drive,Silver,6,42337
45814804,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362,6,Automatic,Rear,4,Left-hand drive,White,12,3763
45787521,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000,4,Automatic,Front,4,Left-hand drive,Silver,8,18189
45759890,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190,8,Automatic,All Wheel Drive,4,Left-hand drive,White,0,862
45758167,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614,4,Automatic,Front,4,Left-hand drive,White,0,220
45648538,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877,6,Automatic,All Wheel Drive,4,Left-hand drive,White,12,5645
45757322,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656,4,Automatic,Front,4,Left-hand drive,White,12,7527
45800993,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000,8,Automatic,All Wheel Drive,4,Right-hand drive,White,10,21953
45765301,HONDA,Cr-v,1998,Jeep,No,Petrol,2,0,4,Automatic,All Wheel Drive,4,Right-hand drive,White,2,8154
45771208,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053,4,Automatic,Front,4,Left-hand drive,Black,0,21953
45801684,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362,4,Automatic,Front,4,Left-hand drive,Black,4,19121
45732386,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191,4,Automatic,Front,4,Left-hand drive,White,4,36065
43892866,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000,4,Tiptronic,Front,4,Right-hand drive,Green,12,8781
45810403,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772,4,Automatic,Front,4,Left-hand drive,Black,4,6247
45810513,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000,4,Automatic,Front,4,Left-hand drive,Grey,4,16289
45807330,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811,8,Automatic,All Wheel Drive,4,Left-hand drive,Black,10,77775
45733554,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2,350000,6,Manual,Rear,4,Left-hand drive,Blue,2,2822
45769914,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213,4,Automatic,All Wheel Drive,4,Left-hand drive,Blue,0,549
45744824,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246,4,Automatic,Front,4,Left-hand drive,Black,4,6981
45792882,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394,4,Tiptronic,Front,4,Left-hand drive,Black,12,27284
45330228,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0 Turbo,160000,4,Automatic,Rear,2,Left-hand drive,Black,12,32929
45776745,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8 Turbo,333333,4,Manual,Rear,4,Left-hand drive,Black,0,18817
45749534,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0,4,Manual,Front,2,Left-hand drive,Blue,6,4234
45789555,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000,6,Tiptronic,Rear,4,Left-hand drive,Grey,8,15053
45797276,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346,4,Automatic,Front,4,Left-hand drive,Black,4,15458
45809760,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827,4,Automatic,Front,4,Left-hand drive,Green,12,2901
45810325,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464,6,Automatic,Rear,2,Left-hand drive,Black,12,706
45813375,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,91760,4,Automatic,Front,4,Left-hand drive,Black,12,314
45756975,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240,8,Automatic,All Wheel Drive,4,Left-hand drive,Silver,0,15681
45776758,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,300000,4,Manual,Rear,4,Left-hand drive,White,1,26657
45550733,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400,4,Automatic,Front,4,Left-hand drive,Silver,6,10663
44094036,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200,4,Automatic,Front,4,Left-hand drive,Sky blue,10,12858
45642797,BMW,X5,2013,Jeep,Yes,Diesel,3,137802,6,Automatic,All Wheel Drive,4,Left-hand drive,Black,12,1019
45760895,BMW,535,2013,Sedan,Yes,Hybrid,3,151586,6,Automatic,Rear,4,Left-hand drive,White,12,549
45742789,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000,4,Manual,Front,4,Left-hand drive,Silver,2,12858
45783859,BMW,328,2008,Sedan,Yes,CNG,3,210408,6,Tiptronic,Rear,4,Left-hand drive,White,12,15000
45808992,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567,4,Automatic,Front,4,Left-hand drive,Black,4,85553
45731735,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000,4,Automatic,Front,4,Left-hand drive,Grey,4,44752
45797948,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740,4,Automatic,Front,4,Left-hand drive,White,4,17158
45782067,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000,4,Tiptronic,All Wheel Drive,4,Right-hand drive,White,16,12231
45534351,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000,12,Tiptronic,Rear,4,Right-hand drive,White,12,11917
45753393,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000,4,Manual,Rear,4,Left-hand drive,Red,0,1254
45624923,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000,4,Manual,Front,4,Right-hand drive,Silver,4,94
45726679,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704,4,Automatic,Front,4,Left-hand drive,Silver,4,25591
45803059,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962,4,Automatic,Front,4,Left-hand drive,White,4,14897
45770405,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000,4,Tiptronic,Front,4,Left-hand drive,White,12,23521
45787329,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000,3,Manual,Front,2,Left-hand drive,Green,0,3450
45763505,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0,4,Automatic,Front,4,Left-hand drive,Red,12,706
45767451,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358,6,Automatic,All Wheel Drive,4,Left-hand drive,Black,12,1019
45636958,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454,4,Automatic,Front,4,Left-hand drive,Black,0,16935
45757670,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0,4,Tiptronic,Front,4,Left-hand drive,Black,6,19444
45733244,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470,4,Automatic,Front,4,Left-hand drive,Silver,4,11604
45802837,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515,4,Automatic,Front,4,Left-hand drive,Blue,4,51965
45646428,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312,4,Automatic,Front,4,Left-hand drive,Grey,12,706
45801896,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2 Turbo,111111,4,Manual,Rear,4,Left-hand drive,Silver,4,9408
45797732,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444,4,Automatic,Front,4,Left-hand drive,Yellow,4,13328
45762683,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000,4,Tiptronic,Front,4,Right-hand drive,White,12,17876
45767013,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709,6,Automatic,Front,4,Left-hand drive,Grey,12,549
45732074,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000,4,Automatic,All Wheel Drive,4,Left-hand drive,Silver,8,20071
45731782,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444,4,Automatic,Front,4,Left-hand drive,Yellow,4,22894
45662111,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403,4,Automatic,Front,4,Left-hand drive,White,0,2901
45766794,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000,4,Automatic,All Wheel Drive,2,Left-hand drive,Blue,6,15681
45764126,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821,8,Automatic,All Wheel Drive,4,Left-hand drive,Black,0,39829
45768549,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907,8,Automatic,All Wheel Drive,4,Left-hand drive,Black,0,706
44698379,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000,4,Tiptronic,Front,4,Left-hand drive,Black,6,18660
45770233,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930,4,Automatic,Rear,4,Left-hand drive,Black,12,22580
45803455,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872,4,Automatic,Front,4,Left-hand drive,Silver,4,11604
45760030,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893,4,Automatic,Front,4,Left-hand drive,Brown,0,314
45810339,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958,4,Automatic,Front,4,Left-hand drive,Black,12,5488
45759786,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,1111111,4,Manual,Rear,4,Left-hand drive,Black,1,4300
45642844,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058,4,Automatic,Front,4,Left-hand drive,White,12,18817
44921934,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330,4,Automatic,All Wheel Drive,4,Left-hand drive,Grey,8,21169
45462592,FIAT,500,2011,Coupe,No,Petrol,1.2,141000,4,Automatic,Front,2,Right-hand drive,Red,4,9095
45634898,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392,4,Automatic,Front,4,Left-hand drive,Silver,12,1568
45777114,SUBARU,Legacy,2005,Pickup,No,Petrol,2.0 Turbo,180000,6,Tiptronic,All Wheel Drive,4,Right-hand drive,Blue,6,3136
45451626,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920,4,Tiptronic,Front,4,Left-hand drive,Grey,12,17876
45732976,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787,4,Automatic,Front,4,Left-hand drive,Silver,4,11290
44452971,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200,6,Tiptronic,Front,4,Left-hand drive,White,16,36065
45648000,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478,4,Automatic,Front,4,Left-hand drive,White,12,862
45796845,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144,4,Automatic,Front,4,Left-hand drive,Silver,4,21395
45733140,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,258706,4,Automatic,Front,4,Left-hand drive,Silver,4,15681
45762282,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419,4,Automatic,Front,4,Left-hand drive,Red,0,627
45810003,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807,4,Automatic,Front,4,Left-hand drive,Black,4,40070
44875253,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000,4,Automatic,Front,4,Left-hand drive,Golden,8,11917
45807577,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918,4,Tiptronic,Front,4,Left-hand drive,Black,6,72130
45729867,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267,4,Automatic,Front,4,Left-hand drive,Silver,4,35927
45801397,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000,4,Automatic,All Wheel Drive,4,Left-hand drive,White,4,21012
45765622,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358,6,Automatic,Front,4,Left-hand drive,Grey,12,21012
45781785,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176,4,Automatic,Front,4,Left-hand drive,White,6,13172
45802035,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,107005,4,Automatic,Front,4,Left-hand drive,Grey,4,15624
45811318,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000,4,Manual,Front,4,Left-hand drive,Beige,2,4547
45751101,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154,6,Automatic,All Wheel Drive,4,Left-hand drive,Black,12,5488
45801611,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997,4,Automatic,Front,4,Left-hand drive,White,4,20005
45792460,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728,6,Tiptronic,Front,4,Left-hand drive,Silver,8,36110
45798511,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777,6,Manual,Rear,4,Left-hand drive,Blue,4,7840
45765057,MAZDA,1000,2019,Jeep,Yes,Petrol,2,11566,4,Automatic,All Wheel Drive,4,Left-hand drive,Black,12,470
45782173,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000,1,Tiptronic,Rear,5,Right-hand drive,Blue,0,1300
45802937,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700,4,Automatic,Front,4,Left-hand drive,Silver,4,43880
45675386,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000,4,Tiptronic,Rear,4,Left-hand drive,Grey,8,29479
45795520,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000,4,Manual,Front,4,Left-hand drive,White,12,17249
45778720,TOYOTA,Vitz funkargo,2003,Universal,No,Petrol,1.5,181926,4,Automatic,All Wheel Drive,4,Right-hand drive,Silver,2,9408
45802938,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255,4,Automatic,Front,4,Left-hand drive,Red,4,44213
45801304,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800,6,Manual,Rear,4,Left-hand drive,Grey,6,8467
45808583,AUDI,A6,2014,Sedan,Yes,Petrol,3,164488,6,Automatic,All Wheel Drive,4,Left-hand drive,Silver,12,627
45395938,FORD,Transit,2011,Pickup,No,Diesel,2.4 Turbo,125000,4,Manual,All Wheel Drive,4,Left-hand drive,White,2,21950
45810208,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574,4,Automatic,Front,4,Left-hand drive,Red,12,706
45766275,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992,4,Automatic,Front,4,Left-hand drive,Black,12,3136
45793851,OPEL,Vectra,1995,Sedan,No,CNG,2,0,4,Manual,Front,4,Left-hand drive,White,2,3450
45805913,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5 Turbo,11000,6,Tiptronic,All Wheel Drive,4,Right-hand drive,Silver,4,9408
45793479,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4,90200,6,Tiptronic,All Wheel Drive,4,Left-hand drive,Black,12,31500
43390500,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3,184000,6,Automatic,All Wheel Drive,4,Right-hand drive,White,12,20385
45769518,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486,6,Automatic,All Wheel Drive,4,Left-hand drive,Silver,12,314
45792823,VOLKSWAGEN,Golf,1996,Sedan,No,CNG,2,0,4,Manual,Front,4,Left-hand drive,Green,0,2300
45776494,MERCEDES-BENZ,Vaneo,2004,Universal,No,LPG,1.9,170000,4,Tiptronic,Front,4,Left-hand drive,Silver,4,7840
45787317,TOYOTA,Camry Se,2018,Sedan,Yes,Petrol,2.5,25000,4,Tiptronic,Front,4,Left-hand drive,Blue,12,56450
45813281,VOLKSWAGEN,Jetta,2014,Universal,Yes,Diesel,2,113214,4,Automatic,Front,4,Left-hand drive,Grey,12,1490
45772050,TOYOTA,Tacoma,2012,Sedan,Yes,Petrol,2.7,394069,4,Automatic,Rear,4,Left-hand drive,Black,12,627
45771040,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486,6,Automatic,All Wheel Drive,4,Left-hand drive,Silver,12,314
45788160,HONDA,Cr-v,2002,Jeep,No,Petrol,2.4,260000,4,Automatic,All Wheel Drive,4,Left-hand drive,Silver,6,13172
45776729,NISSAN,Patrol Y60,1990,Jeep,No,Diesel,2.8 Turbo,222222,4,Manual,Rear,4,Left-hand drive,Black,0,19757
45646578,AUDI,A7,2013,Hatchback,Yes,Petrol,3,301707,6,Automatic,All Wheel Drive,4,Left-hand drive,Grey,0,4704
45815974,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,175827,4,Automatic,Front,4,Left-hand drive,Black,12,706
45773662,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Diesel,3.5,107800,6,Automatic,Rear,4,Left-hand drive,Grey,12,5802
45767823,TOYOTA,Camry,2014,Sedan,No,Petrol,2.5,115200,4,Automatic,Front,4,Left-hand drive,Silver,8,25716
